https://www.gunviolencearchive.org/,,,,,,
Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
31-Dec-16,Indiana,Indianapolis,4006 Newburgh Drive,1,0,N/A
31-Dec-16,Kentucky,Louisville,2300 block of Griffiths Avenue,0,1,N/A
31-Dec-16,Michigan,Detroit,13000 block of Kilbourne,0,1,N/A
31-Dec-16,Louisiana,Covington (Claiborne),Green Road,0,1,N/A
31-Dec-16,New Jersey,Stratford,Union Ave,1,0,N/A
30-Dec-16,Mississippi,Meridian,803 29th St,1,0,N/A
29-Dec-16,Texas,Lufkin,500 block of FM 843,0,1,N/A
28-Dec-16,Utah,Salt Lake City (Kearns),5285 Stockton St,0,1,N/A
28-Dec-16,Florida,Fort Lauderdale (Dania Beach),200 block of NW Ninth Avenue,1,2,N/A
26-Dec-16,South Carolina,Andrews,1358 Mount Pleasant Dr,1,0,N/A
25-Dec-16,Arkansas,Helena,500 block of Kentucky Street,0,2,N/A
25-Dec-16,Michigan,Southgate,12300 Block of Agnes Street,0,3,N/A
23-Dec-16,Massachusetts,South Yarmouth,Captain Daniel Road,0,1,N/A
23-Dec-16,Ohio,Cleveland,3811 Library Avenue,1,0,N/A
21-Dec-16,Arkansas,Little Rock,2510 Romine Road,1,0,N/A
21-Dec-16,Ohio,Columbus,2700 block of Noe Bixby,1,0,N/A
20-Dec-16,Oregon,Portland,8500 block of Northeast Multnomah Street,0,1,N/A
19-Dec-16,Louisiana,Coushatta,11000 block of US Highway 71,0,1,N/A
19-Dec-16,Arizona,Tucson,1900 block of West Greenleaf Drive,0,1,N/A
18-Dec-16,Ohio,Columbus,1300 block of Cole Street,0,1,N/A
17-Dec-16,Illinois,Chicago,5900 block of West Rice,0,1,N/A
17-Dec-16,California,Oceanside,400 block of Vandegrift Boulevard,0,1,N/A
17-Dec-16,Arkansas,Little Rock,2600 S Shackleford Rd,1,0,N/A
16-Dec-16,North Carolina,Greensboro,Waugh Street,1,0,N/A
15-Dec-16,Ohio,Piqua,500 block of Gordon Street,0,1,N/A
15-Dec-16,Iowa,Waterloo,1241 W. Mullan Avenue,0,1,N/A
11-Dec-16,Minnesota,Faribault,2500 block of Hulett Avenue,2,0,N/A
11-Dec-16,Iowa,Des Moines,3100 block of Fifth Avenue,0,1,N/A
10-Dec-16,Florida,West Palm Beach,2100 North Australian Avenue,0,1,N/A
9-Dec-16,Florida,Pensacola,2200 block of Brookpark Road,1,0,N/A
9-Dec-16,Oklahoma,Pittsburg (county),N/A,0,1,N/A
7-Dec-16,Alabama,Birmingham,7724 Ludington Ln,0,1,N/A
5-Dec-16,New Mexico,Albuquerque,1532 Stagecoach Lane,4,1,N/A
5-Dec-16,Kentucky,Lexington,400 block of Kenton Street,1,3,N/A
5-Dec-16,North Dakota,Williston,N/A,0,1,N/A
4-Dec-16,North Carolina,Salisbury,200 block of Harrel Street,1,1,N/A
4-Dec-16,Virginia,Richmond,2900 block of Woodcliff Avenue,0,1,N/A
4-Dec-16,Ohio,Toledo,2400 block of Seaman Street,1,0,N/A
3-Dec-16,Kansas,Leavenworth,2500 block of 3rd Avenue,0,2,N/A
3-Dec-16,Louisiana,Marrero,2100 block of Caddy Drive,1,1,N/A
2-Dec-16,Florida,Miami,8351 Northwest 15th Avenue,0,3,N/A
1-Dec-16,California,Clearlake Oaks,N/A,1,3,N/A
30-Nov-16,Pennsylvania,New Stanton,1100 Block of Thermo Village Rd,2,0,N/A
29-Nov-16,Colorado,Lone Tree,7848 East County Line Road,3,0,N/A
28-Nov-16,New Jersey,Trenton,600 block of Southard Street,0,1,N/A
26-Nov-16,Nevada,Las Vegas,604 N 23rd St,0,1,N/A
26-Nov-16,Pennsylvania,Pittsburgh,2100 block of Park Hill Drive,1,2,N/A
25-Nov-16,Montana,Billings,308 6th Avenue North,0,2,N/A
25-Nov-16,Alaska,Fairbanks,433 Harold Bentley Ave,4,0,N/A
25-Nov-16,New Jersey,Monroe Township,Poplar Lane,1,2,N/A
24-Nov-16,Pennsylvania,Philadelphia,3500 N 9th Street,0,1,N/A
23-Nov-16,West Virginia,Troy,Highway 47 West,1,0,N/A
23-Nov-16,Oklahoma,Oklahoma City,2400 block of East Madison Street,0,1,N/A
22-Nov-16,Arkansas,Little Rock,2000 block of Harrison Street,1,0,N/A
22-Nov-16,Ohio,Columbus,200 block of Dana Avenue,0,1,N/A
22-Nov-16,Illinois,Chicago,3541 South California,0,3,N/A
22-Nov-16,California,Los Angeles,1400 block of East 51st Street,1,3,N/A
21-Nov-16,Florida,Pensacola,49th Avenue,0,1,N/A
20-Nov-16,New Jersey,Millville,1701 East Broad Street,0,1,N/A
19-Nov-16,Pennsylvania,Wilkes Barre,351 McLean Street,3,0,N/A
18-Nov-16,Georgia,Norcross,700 block of Pebble Creek Drive,3,0,N/A
17-Nov-16,Tennessee,Dyersburg,160 Longfellow,1,7,N/A
17-Nov-16,Virginia,Stafford,8 Wilderness Ct,4,0,N/A
17-Nov-16,Alabama,Bessemer,417 30th Street S,0,2,N/A
16-Nov-16,Florida,Tampa,404 North Hernandez Court,0,1,N/A
16-Nov-16,Mississippi,Marion (county),N/A,0,1,N/A
16-Nov-16,Louisiana,Bastrop,320 Ogden Avenue,0,2,N/A
15-Nov-16,Louisiana,Baton Rouge,North Foster Drive,0,1,N/A
15-Nov-16,Oklahoma,Creek (county),22500 block of West 71st Street,2,0,N/A
14-Nov-16,Texas,Houston,10445 Greens Crossing Boulevard,1,2,N/A
13-Nov-16,Colorado,Park (county),N/A,1,0,N/A
13-Nov-16,Indiana,Indianapolis,1606 E 44th St,0,2,N/A
13-Nov-16,Missouri,Saint Louis,2500 block of N Grand Blvd,0,1,N/A
13-Nov-16,Florida,Jacksonville,5105 Cleveland Rd,3,2,N/A
13-Nov-16,Michigan,Ypsilanti,212 Stevens Drive,1,0,N/A
12-Nov-16,California,Sacramento,8600 block of Ardith Drive,1,5,N/A
