City,Population density,2016 Population,Land Area,http://www.governing.com/gov-data/population-density-land-area-cities-map.html
"Abilene, Texas","1,145","122,225",107,
"Akron, Ohio","3,186","197,633",62,
"Alameda, California","7,437","78,906",11,
"Albany, Georgia","1,339","73,801",55,
"Albany, New York","4,587","98,111",21,
"Albany, Oregon","3,034","53,211",18,
"Albuquerque, New Mexico","2,979","559,277",188,
"Alexandria, Virginia","10,367","155,810",15,
"Alhambra, California","11,202","85,474",8,
"Aliso Viejo, California","6,884","51,424",7,
"Allen, Texas","3,772","99,179",26,
"Allentown, Pennsylvania","6,863","120,443",18,
"Alpharetta, Georgia","2,428","65,338",27,
"Amarillo, Texas","2,006","199,582",99,
"Ames, Iowa","2,734","66,191",24,
"Anaheim, California","7,043","351,043",50,
"Anchorage, Alaska",175,"298,192","1,705",
"Anderson, Indiana","1,333","55,130",41,
"Ankeny, Iowa","1,999","58,627",29,
"Ann Arbor, Michigan","4,340","120,782",28,
"Antioch, California","3,912","110,898",28,
"Apple Valley, California",991,"72,553",73,
"Apple Valley, Minnesota","3,082","51,957",17,
"Appleton, Wisconsin","3,057","74,370",24,
"Arcadia, California","5,354","58,523",11,
"Arlington Heights, Illinois","4,547","75,525",17,
"Arlington, Texas","4,096","392,772",96,
"Arvada, Colorado","3,342","117,453",35,
"Asheville, North Carolina","1,984","89,121",45,
"Athens-Clarke County, Georgia","1,060","123,371",116,
"Atlanta, Georgia","3,549","472,522",133,
"Auburn, Alabama","1,087","63,118",58,
"Auburn, Washington","2,616","77,472",30,
"Augusta-Richmond County, Georgia",652,"197,081",302,
"Aurora, Colorado","2,338","361,710",155,
"Aurora, Illinois","4,475","201,110",45,
"Austin, Texas","3,182","947,890",298,
"Avondale, Arizona","1,818","82,881",46,
"Bakersfield, California","2,648","376,380",142,
"Baldwin Park, California","11,533","76,464",7,
"Baltimore, Maryland","7,594","614,664",81,
"Bartlett, Tennessee","2,200","58,622",27,
"Baton Rouge, Louisiana","2,959","227,715",77,
"Battle Creek, Michigan","1,209","51,534",43,
"Bayonne, New Jersey","11,420","66,238",6,
"Baytown, Texas","2,144","75,992",35,
"Beaumont, Texas","1,429","118,299",83,
"Beaverton, Oregon","5,210","97,590",19,
"Bellevue, Nebraska","3,376","53,505",16,
"Bellevue, Washington","4,423","141,400",32,
"Bellflower, California","12,711","77,790",6,
"Bellingham, Washington","3,234","87,574",27,
"Bend, Oregon","2,760","91,122",33,
"Berkeley, California","11,580","121,240",10,
"Berwyn, Illinois","14,258","55,748",4,
